# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:1904645	BP	e	response to amyloid-beta	3/4	49/20424	5.1820574313361594e-08	6	3	0.0007985032295945889	ENSG00000087245, ENSG00000118689, ENSG00000153094
GO:1901216	BP	e	positive regulation of neuron death	3/4	84/20424	2.676570654648066e-07	6	3	0.0020621638608736025	ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0010942	BP	e	positive regulation of cell death	4/4	568/20424	5.920530970527961e-07	5	4	0.002679202724755988	ENSG00000087245, ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0009725	BP	e	response to hormone	4/4	597/20424	7.229169127385068e-07	4	4	0.002679202724755988	ENSG00000087245, ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0001542	BP	e	ovulation from ovarian follicle	2/4	9/20424	1.0352015208996166e-06	4	2	0.002679202724755988	ENSG00000087245, ENSG00000118689
GO:0051384	BP	e	response to glucocorticoid	3/4	138/20424	1.2013824884572337e-06	7	3	0.002679202724755988	ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0071495	BP	e	cellular response to endogenous stimulus	4/4	696/20424	1.3373686329954113e-06	3	4	0.002679202724755988	ENSG00000087245, ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0014070	BP	e	response to organic cyclic compound	4/4	715/20424	1.489834958808729e-06	4	4	0.002679202724755988	ENSG00000087245, ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0033993	BP	e	response to lipid	4/4	741/20424	1.7191553043935714e-06	4	4	0.002679202724755988	ENSG00000087245, ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0031960	BP	e	response to corticosteroid	3/4	156/20424	1.7387258905548628e-06	6	3	0.002679202724755988	ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0010243	BP	e	response to organonitrogen compound	4/4	806/20424	2.408057760560277e-06	4	4	0.00337325109386121	ENSG00000087245, ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:1901701	BP	e	cellular response to oxygen-containing compound	4/4	828/20424	2.6824659989567367e-06	4	4	0.0034445098814936963	ENSG00000087245, ENSG00000118689, ENSG00000153094, ENSG00000170345
GO:0034599	BP	e	cellular response to oxidative stress	3/4	189/20424	3.0987440566648283e-06	5	3	0.0036729651668575645	ENSG00000087245, ENSG00000118689, ENSG00000170345
