# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0043371	BP	e	negative regulation of CD4-positive, alpha-beta T cell differentiation	3/7	21/20424	3.2701188166862384e-08	11	3	0.0004354404974976585	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:0046639	BP	e	negative regulation of alpha-beta T cell differentiation	3/7	25/20424	5.651768414532526e-08	10	3	0.0004354404974976585	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:2000515	BP	e	negative regulation of CD4-positive, alpha-beta T cell activation	3/7	32/20424	1.2175624037488126e-07	10	3	0.0006253806359788485	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:0046636	BP	e	negative regulation of alpha-beta T cell activation	3/7	43/20424	3.024526119170886e-07	9	3	0.0009930794926242099	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:0045581	BP	e	negative regulation of T cell differentiation	3/7	44/20424	3.245355510084916e-07	9	3	0.0009930794926242099	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:0046638	BP	e	positive regulation of alpha-beta T cell differentiation	3/7	49/20424	4.511361183963573e-07	10	3	0.0009930794926242099	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:0043370	BP	e	regulation of CD4-positive, alpha-beta T cell differentiation	3/7	49/20424	4.511361183963573e-07	10	3	0.0009930794926242099	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:0045620	BP	e	negative regulation of lymphocyte differentiation	3/7	53/20424	5.732792632308363e-07	8	3	0.0011042075208904946	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:0043378	BP	e	positive regulation of CD8-positive, alpha-beta T cell differentiation	2/7	5/20424	1.0064130749523465e-06	11	2	0.0015022678784101461	ENSG00000020633, ENSG00000159216
GO:2000514	BP	e	regulation of CD4-positive, alpha-beta T cell activation	3/7	66/20424	1.117694895367544e-06	9	3	0.0015022678784101461	ENSG00000020633, ENSG00000049768, ENSG00000159216
GO:0046637	BP	e	regulation of alpha-beta T cell differentiation	3/7	66/20424	1.117694895367544e-06	9	3	0.0015022678784101461	ENSG00000020633, ENSG00000049768, ENSG00000159216
