# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:1990440	BP	e	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	4/5	11/20424	2.27583332203231e-13	13	4	3.506831565919587e-09	ENSG00000128272, ENSG00000162772, ENSG00000172216, ENSG00000175197
GO:0036003	BP	e	positive regulation of transcription from RNA polymerase II promoter in response to stress	4/5	24/20424	7.324449996043075e-12	12	4	5.643122499451387e-08	ENSG00000128272, ENSG00000162772, ENSG00000172216, ENSG00000175197
GO:0043618	BP	e	regulation of transcription from RNA polymerase II promoter in response to stress	4/5	47/20424	1.228352540835099e-10	11	4	6.309228100576014e-07	ENSG00000128272, ENSG00000162772, ENSG00000172216, ENSG00000175197
GO:0043620	BP	e	regulation of DNA-templated transcription in response to stress	4/5	53/20424	2.016133431436815e-10	10	4	7.766650011252471e-07	ENSG00000128272, ENSG00000162772, ENSG00000172216, ENSG00000175197
GO:0070059	BP	e	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	3/5	33/20424	3.834506448878206e-08	7	3	9.224575568857905e-05	ENSG00000128272, ENSG00000172216, ENSG00000175197
GO:0042594	BP	e	response to starvation	4/5	195/20424	3.999146210808919e-08	5	4	9.224575568857905e-05	ENSG00000070669, ENSG00000128272, ENSG00000162772, ENSG00000175197
GO:0070982	BP	e	L-asparagine metabolic process	2/5	2/20424	4.794790724532954e-08	10	2	9.224575568857905e-05	ENSG00000070669, ENSG00000128272
GO:0061394	BP	e	regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	2/5	2/20424	4.794790724532954e-08	12	2	9.224575568857905e-05	ENSG00000128272, ENSG00000162772
GO:0034976	BP	e	response to endoplasmic reticulum stress	4/5	210/20424	5.3878369861588126e-08	4	4	9.224575568857905e-05	ENSG00000128272, ENSG00000162772, ENSG00000172216, ENSG00000175197
GO:2000120	BP	e	positive regulation of sodium-dependent phosphate transport	2/5	3/20424	1.4382963459660004e-07	9	2	0.00020475140976763901	ENSG00000128272, ENSG00000172216
GO:0030968	BP	e	endoplasmic reticulum unfolded protein response	3/5	51/20424	1.461655855307956e-07	5	3	0.00020475140976763901	ENSG00000128272, ENSG00000162772, ENSG00000175197
GO:0006528	BP	e	asparagine metabolic process	2/5	5/20424	4.793382114462818e-07	9	2	0.000568163269244289	ENSG00000070669, ENSG00000128272
GO:2000118	BP	e	regulation of sodium-dependent phosphate transport	2/5	5/20424	4.793382114462818e-07	8	2	0.000568163269244289	ENSG00000128272, ENSG00000172216
GO:0010966	BP	e	regulation of phosphate transport	2/5	6/20424	7.189368970611503e-07	7	2	0.0007628071246544715	ENSG00000128272, ENSG00000172216
GO:0031667	BP	e	response to nutrient levels	4/5	404/20424	7.425599889556152e-07	4	4	0.0007628071246544715	ENSG00000070669, ENSG00000128272, ENSG00000162772, ENSG00000175197
GO:0009991	BP	e	response to extracellular stimulus	4/5	432/20424	9.706825283315516e-07	3	4	0.0009122246512813527	ENSG00000070669, ENSG00000128272, ENSG00000162772, ENSG00000175197
GO:0036499	BP	e	PERK-mediated unfolded protein response	2/5	7/20424	1.0064130749421116e-06	6	2	0.0009122246512813527	ENSG00000128272, ENSG00000175197
GO:0042981	BP	e	regulation of apoptotic process	5/5	1398/20424	1.4925697074103329e-06	6	5	0.0012777225900825456	ENSG00000070669, ENSG00000128272, ENSG00000162772, ENSG00000172216, ENSG00000175197
GO:0043067	BP	e	regulation of programmed cell death	5/5	1426/20424	1.6483807022790449e-06	5	5	0.0013060720521324801	ENSG00000070669, ENSG00000128272, ENSG00000162772, ENSG00000172216, ENSG00000175197
GO:0033554	BP	e	cellular response to stress	5/5	1434/20424	1.6952067650496204e-06	3	5	0.0013060720521324801	ENSG00000070669, ENSG00000128272, ENSG00000162772, ENSG00000172216, ENSG00000175197
GO:0140467	BP	e	integrated stress response signaling	2/5	11/20424	2.6348112042917306e-06	4	2	0.0018629642385677627	ENSG00000128272, ENSG00000175197
