# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0030522	BP	e	intracellular receptor signaling pathway	6/7	140/20424	6.482424303125898e-13	5	6	9.988767608686696e-09	ENSG00000025434, ENSG00000072310, ENSG00000101076, ENSG00000131759, ENSG00000164749, ENSG00000186350
GO:0042789	BP	e	mRNA transcription by RNA polymerase II	4/7	36/20424	2.8337493566422343e-10	11	4	2.1832621918250098e-06	ENSG00000025434, ENSG00000072310, ENSG00000131759, ENSG00000186350
GO:0009299	BP	e	mRNA transcription	4/7	41/20424	4.868941315369798e-10	10	4	2.500850557617774e-06	ENSG00000025434, ENSG00000072310, ENSG00000131759, ENSG00000186350
GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	7/7	1612/20424	1.8851718124233275e-08	9	7	4.969235025009574e-05	ENSG00000025434, ENSG00000072310, ENSG00000101076, ENSG00000131759, ENSG00000131910, ENSG00000164749, ENSG00000186350
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	7/7	1612/20424	1.8851718124233275e-08	10	7	4.969235025009574e-05	ENSG00000025434, ENSG00000072310, ENSG00000101076, ENSG00000131759, ENSG00000131910, ENSG00000164749, ENSG00000186350
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	7/7	1618/20424	1.9349347881145722e-08	8	7	4.969235025009574e-05	ENSG00000025434, ENSG00000072310, ENSG00000101076, ENSG00000131759, ENSG00000131910, ENSG00000164749, ENSG00000186350
GO:0051254	BP	e	positive regulation of RNA metabolic process	7/7	1709/20424	2.8399590379041097e-08	7	7	6.251561259294918e-05	ENSG00000025434, ENSG00000072310, ENSG00000101076, ENSG00000131759, ENSG00000131910, ENSG00000164749, ENSG00000186350
GO:0010557	BP	e	positive regulation of macromolecule biosynthetic process	7/7	1850/20424	4.9513937382955314e-08	6	7	9.53700326417448e-05	ENSG00000025434, ENSG00000072310, ENSG00000101076, ENSG00000131759, ENSG00000131910, ENSG00000164749, ENSG00000186350
GO:0045935	BP	e	positive regulation of nucleobase-containing compound metabolic process	7/7	1894/20424	5.838482447540594e-08	6	7	9.996130670461445e-05	ENSG00000025434, ENSG00000072310, ENSG00000101076, ENSG00000131759, ENSG00000131910, ENSG00000164749, ENSG00000186350
GO:0031328	BP	e	positive regulation of cellular biosynthetic process	7/7	1951/20424	7.187569263888186e-08	6	7	0.00011075325478725305	ENSG00000025434, ENSG00000072310, ENSG00000101076, ENSG00000131759, ENSG00000131910, ENSG00000164749, ENSG00000186350
