Group	regulator_name	module2	module2_nr	module2_size	M_count	M_fraction	P_count	P_fraction	C_count	C_fraction	H_count	H_fraction	R_count	R_fraction	SumCount	fraction
miRNA	hsa-let-7a-5p	ALL	3	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	9	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	10	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	11	10	1	10.0	0	0.0	0	0.0	6	60.0	0	0.0	7	70.0
miRNA	hsa-let-7a-5p	ALL	12	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	14	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	16	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	18	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	19	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	20	10	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	21	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	24	9	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	25	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	27	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	28	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	29	18	1	5.56	0	0.0	0	0.0	0	0.0	0	0.0	1	5.56
miRNA	hsa-let-7a-5p	ALL	31	14	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	34	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	ALL	35	10	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COR	0	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COR	1	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COR	2	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COR	4	8	1	12.5	0	0.0	0	0.0	6	75.0	0	0.0	7	87.5
miRNA	hsa-let-7a-5p	COR	5	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COR	6	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COR	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COR	8	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COP	0	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COP	1	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COP	3	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COP	4	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	COP	7	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	CIR	0	8	1	12.5	0	0.0	0	0.0	0	0.0	0	0.0	1	12.5
miRNA	hsa-let-7a-5p	CIR	1	14	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	CIR	2	6	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	CIR	3	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	FBU	0	8	1	12.5	0	0.0	0	0.0	6	75.0	0	0.0	7	87.5
miRNA	hsa-let-7a-5p	FBU	1	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	FBU	2	12	1	8.33	0	0.0	0	0.0	0	0.0	0	0.0	1	8.33
miRNA	hsa-let-7a-5p	FBU	3	9	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	FBU	5	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	FB2U	1	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	FB2U	3	7	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	FB2U	4	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	FB2U	6	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
miRNA	hsa-let-7a-5p	FFL	1	5	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0
