# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	12/12	2547/20424	1.3828995085344317e-11	10	12	2.130909852700706e-07	ENSG00000073282, ENSG00000109320, ENSG00000113916, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	10/12	1204/20424	2.8949126516317615e-11	11	10	2.2303854524496908e-07	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:0006355	BP	e	regulation of transcription, DNA-templated	12/12	3369/20424	3.992165164401432e-10	9	12	1.0397824255341308e-06	ENSG00000073282, ENSG00000109320, ENSG00000113916, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:1903506	BP	e	regulation of nucleic acid-templated transcription	12/12	3370/20424	4.0064313888537914e-10	8	12	1.0397824255341308e-06	ENSG00000073282, ENSG00000109320, ENSG00000113916, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:2001141	BP	e	regulation of RNA biosynthetic process	12/12	3379/20424	4.1369465196245455e-10	7	12	1.0397824255341308e-06	ENSG00000073282, ENSG00000109320, ENSG00000113916, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	10/12	1612/20424	5.203886955406938e-10	10	10	1.0397824255341308e-06	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	10/12	1612/20424	5.203886955406938e-10	9	10	1.0397824255341308e-06	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	10/12	1618/20424	5.398312287801315e-10	8	10	1.0397824255341308e-06	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:0051254	BP	e	positive regulation of RNA metabolic process	10/12	1709/20424	9.26279321083064e-10	7	10	1.5537750332036363e-06	ENSG00000073282, ENSG00000109320, ENSG00000118689, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
GO:0051252	BP	e	regulation of RNA metabolic process	12/12	3639/20424	1.008355528070372e-09	6	12	1.5537750332036363e-06	ENSG00000073282, ENSG00000109320, ENSG00000113916, ENSG00000118689, ENSG00000119138, ENSG00000136826, ENSG00000137265, ENSG00000147862, ENSG00000150907, ENSG00000156127, ENSG00000158055, ENSG00000172216
