# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	6/7	1204/20424	2.75741695502598e-07	11	6	0.003587767125934733	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	7/7	2547/20424	4.6567163682714426e-07	10	7	0.003587767125934733	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	6/7	1612/20424	1.564598697917679e-06	10	6	0.004929308516251762	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	6/7	1612/20424	1.564598697917679e-06	9	6	0.004929308516251762	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	6/7	1618/20424	1.5994900760113446e-06	8	6	0.004929308516251762	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0051254	BP	e	positive regulation of RNA metabolic process	6/7	1709/20424	2.2130668467137594e-06	7	6	0.00495984351994317	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0006355	BP	e	regulation of transcription, DNA-templated	7/7	3369/20424	3.305667912234117e-06	9	7	0.00495984351994317	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:1903506	BP	e	regulation of nucleic acid-templated transcription	7/7	3370/20424	3.3125485769559183e-06	8	7	0.00495984351994317	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0010604	BP	e	positive regulation of macromolecule metabolic process	7/7	3371/20424	3.319441513866105e-06	5	7	0.00495984351994317	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:2001141	BP	e	regulation of RNA biosynthetic process	7/7	3379/20424	3.375029005125556e-06	7	7	0.00495984351994317	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0010557	BP	e	positive regulation of macromolecule biosynthetic process	6/7	1850/20424	3.5406761450694317e-06	6	6	0.00495984351994317	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0045935	BP	e	positive regulation of nucleobase-containing compound metabolic process	6/7	1894/20424	4.069558332336792e-06	6	6	0.0052256520285814696	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0031328	BP	e	positive regulation of cellular biosynthetic process	6/7	1951/20424	4.850445199411556e-06	6	6	0.0054636404513336055	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0009891	BP	e	positive regulation of biosynthetic process	6/7	1985/20424	5.372579362966357e-06	5	6	0.0054636404513336055	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0030154	BP	e	cell differentiation	6/7	2001/20424	5.633915678360437e-06	3	6	0.0054636404513336055	ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0051252	BP	e	regulation of RNA metabolic process	7/7	3639/20424	5.6731940568069105e-06	6	7	0.0054636404513336055	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0009893	BP	e	positive regulation of metabolic process	7/7	3674/20424	6.066681814849372e-06	4	7	0.005498911769706704	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:2000112	BP	e	regulation of cellular macromolecule biosynthetic process	7/7	3836/20424	8.20790456690925e-06	6	7	0.006961849138998851	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0010556	BP	e	regulation of macromolecule biosynthetic process	7/7	3864/20424	8.636925645844422e-06	5	7	0.006961849138998851	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0019219	BP	e	regulation of nucleobase-containing compound metabolic process	7/7	3889/20424	9.036081691217926e-06	5	7	0.006961849138998851	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0031326	BP	e	regulation of cellular biosynthetic process	7/7	4020/20424	1.1396550588468957e-05	5	7	0.008362354667510388	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0009889	BP	e	regulation of biosynthetic process	7/7	4080/20424	1.2642867652370714e-05	4	7	0.008855179438880924	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0035855	BP	e	megakaryocyte development	2/7	17/20424	1.3660429391408023e-05	5	2	0.009151893760530706	ENSG00000151702, ENSG00000162367
GO:0098751	BP	e	bone cell development	2/7	24/20424	2.7690967599261607e-05	4	2	0.017778754989042588	ENSG00000151702, ENSG00000162367
GO:0010468	BP	e	regulation of gene expression	7/7	4699/20424	3.4006138500221775e-05	5	7	0.020960023525996695	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0048869	BP	e	cellular developmental process	6/7	2782/20424	3.931522234535145e-05	2	6	0.023300317735366175	ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0045648	BP	e	positive regulation of erythrocyte differentiation	2/7	31/20424	4.6599960932900504e-05	8	2	0.02659477029685422	ENSG00000134954, ENSG00000162367
GO:0032502	BP	e	developmental process	7/7	5050/20424	5.632404953431042e-05	1	7	0.030996331402649617	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0051173	BP	e	positive regulation of nitrogen compound metabolic process	6/7	2985/20424	5.94338557838017e-05	5	6	0.0315798718542276	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:1990090	BP	e	cellular response to nerve growth factor stimulus	2/7	39/20424	7.416233026846232e-05	6	2	0.03809224490355786	ENSG00000101412, ENSG00000125968
GO:1990089	BP	e	response to nerve growth factor	2/7	41/20424	8.204217024961559e-05	5	2	0.04078025165730086	ENSG00000101412, ENSG00000125968
GO:0031325	BP	e	positive regulation of cellular metabolic process	6/7	3186/20424	8.705058856112635e-05	5	6	0.041917578723074875	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0045646	BP	e	regulation of erythrocyte differentiation	2/7	45/20424	9.898621662823871e-05	7	2	0.04535920309672311	ENSG00000134954, ENSG00000162367
GO:0051171	BP	e	regulation of nitrogen compound metabolic process	7/7	5482/20424	0.00010008520379574181	4	7	0.04535920309672311	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0048522	BP	e	positive regulation of cellular process	7/7	5526/20424	0.0001058488345431906	4	7	0.04660070547074354	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0000785	CC	e	chromatin	6/7	1094/20424	1.5574289033543105e-07	2	6	0.00030743646552214087	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0140110	MF	e	transcription regulator activity	7/7	1919/20424	6.40070562911705e-08	1	7	0.00030998617361813874	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0000978	MF	e	RNA polymerase II cis-regulatory region sequence-specific DNA binding	6/7	1196/20424	2.65001202480814e-07	9	6	0.0004745571737845482	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0000987	MF	e	cis-regulatory region sequence-specific DNA binding	6/7	1217/20424	2.939647989580104e-07	8	6	0.0004745571737845482	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0000981	MF	e	DNA-binding transcription factor activity, RNA polymerase II-specific	6/7	1364/20424	5.796739831331962e-07	3	6	0.0005796406370040634	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0000977	MF	e	RNA polymerase II transcription regulatory region sequence-specific DNA binding	6/7	1412/20424	7.120976284145142e-07	8	6	0.0005796406370040634	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0003700	MF	e	DNA-binding transcription factor activity	6/7	1414/20424	7.181176588941524e-07	2	6	0.0005796406370040634	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0000976	MF	e	transcription regulatory region sequence-specific DNA binding	6/7	1506/20424	1.0445874137259901e-06	7	6	0.0006373739718803534	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0001067	MF	e	regulatory region nucleic acid binding	6/7	1508/20424	1.0528580993274473e-06	4	6	0.0006373739718803534	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:1990837	MF	e	sequence-specific double-stranded DNA binding	6/7	1563/20424	1.3025562843193836e-06	6	6	0.0007009200094398638	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0003690	MF	e	double-stranded DNA binding	6/7	1657/20424	1.8423713079201744e-06	5	6	0.0008346636709777264	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0043565	MF	e	sequence-specific DNA binding	6/7	1665/20424	1.895787813494733e-06	5	6	0.0008346636709777264	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0001216	MF	e	DNA-binding transcription activator activity	4/7	460/20424	8.42394311135888e-06	3	4	0.0033598565868457786	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554
GO:0140297	MF	e	DNA-binding transcription factor binding	4/7	468/20424	9.01881801135559e-06	4	4	0.0033598565868457786	ENSG00000101412, ENSG00000134954, ENSG00000157557, ENSG00000162367
GO:0003677	MF	e	DNA binding	6/7	2473/20424	1.966980220650353e-05	4	6	0.006804346577578328	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157554, ENSG00000157557, ENSG00000162367
GO:0008134	MF	e	transcription factor binding	4/7	592/20424	2.2812520603717756e-05	3	4	0.007365402485587006	ENSG00000101412, ENSG00000134954, ENSG00000157557, ENSG00000162367
GO:0061629	MF	e	RNA polymerase II-specific DNA-binding transcription factor binding	3/7	347/20424	0.00016176102129354742	5	3	0.04896303913279064	ENSG00000134954, ENSG00000157557, ENSG00000162367
