# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0071374	BP	e	cellular response to parathyroid hormone stimulus	2/6	7/20424	1.5093731961463642e-06	6	2	0.012650188590742071	ENSG00000081189, ENSG00000167941
GO:0007517	BP	e	muscle organ development	3/6	105/20424	2.611213191218569e-06	4	3	0.012650188590742071	ENSG00000068305, ENSG00000081189, ENSG00000116604
GO:0071107	BP	e	response to parathyroid hormone	2/6	10/20424	3.2331041304208546e-06	5	2	0.012650188590742071	ENSG00000081189, ENSG00000167941
GO:0061061	BP	e	muscle structure development	3/6	115/20424	3.435448492540788e-06	3	3	0.012650188590742071	ENSG00000068305, ENSG00000081189, ENSG00000116604
GO:0001503	BP	e	ossification	3/6	122/20424	4.10480517578755e-06	2	3	0.012650188590742071	ENSG00000081189, ENSG00000116604, ENSG00000167941
GO:0032501	BP	e	multicellular organismal process	6/6	3011/20424	1.0222893864331794e-05	1	6	0.026254095259248104	ENSG00000068305, ENSG00000081189, ENSG00000109061, ENSG00000116604, ENSG00000125414, ENSG00000167941
GO:0007507	BP	e	heart development	3/6	208/20424	2.0357777286650346e-05	4	3	0.044813284315713596	ENSG00000068305, ENSG00000081189, ENSG00000116604
GO:0036075	BP	e	replacement ossification	2/6	28/20424	2.7094291548618975e-05	3	2	0.04638843760807442	ENSG00000081189, ENSG00000116604
GO:0001958	BP	e	endochondral ossification	2/6	28/20424	2.7094291548618975e-05	4	2	0.04638843760807442	ENSG00000081189, ENSG00000116604
GO:0005859	CC	e	muscle myosin complex	2/6	15/20424	7.538984572013807e-06	4	2	0.010903459329358092	ENSG00000109061, ENSG00000125414
GO:0032982	CC	e	myosin filament	2/6	22/20424	1.6570606883522937e-05	5	2	0.010903459329358092	ENSG00000109061, ENSG00000125414
GO:0016460	CC	e	myosin II complex	2/6	22/20424	1.6570606883522937e-05	3	2	0.010903459329358092	ENSG00000109061, ENSG00000125414
GO:0140297	MF	e	DNA-binding transcription factor binding	4/6	468/20424	3.936664590861526e-06	4	4	0.010187153559869792	ENSG00000068305, ENSG00000081189, ENSG00000116604, ENSG00000167941
GO:0042826	MF	e	histone deacetylase binding	3/6	123/20424	4.206959966908855e-06	4	3	0.010187153559869792	ENSG00000068305, ENSG00000081189, ENSG00000116604
GO:0008134	MF	e	transcription factor binding	4/6	592/20424	1.0006879984577666e-05	3	4	0.01615443992176988	ENSG00000068305, ENSG00000081189, ENSG00000116604, ENSG00000167941
