# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	9/9	2547/20424	7.2046621200873976e-09	10	9	0.00011101663860842671	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0006355	BP	e	regulation of transcription, DNA-templated	9/9	3369/20424	8.96113165408196e-08	9	9	0.0003545485438147443	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:1903506	BP	e	regulation of nucleic acid-templated transcription	9/9	3370/20424	8.985127543692485e-08	8	9	0.0003545485438147443	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:2001141	BP	e	regulation of RNA biosynthetic process	9/9	3379/20424	9.203674315393453e-08	7	9	0.0003545485438147443	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0051252	BP	e	regulation of RNA metabolic process	9/9	3639/20424	1.794887124432974e-07	6	9	0.0005531483140077539	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:2000112	BP	e	regulation of cellular macromolecule biosynthetic process	9/9	3836/20424	2.8862038912098816e-07	6	9	0.000600440403191227	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0010556	BP	e	regulation of macromolecule biosynthetic process	9/9	3864/20424	3.0816496247888323e-07	5	9	0.000600440403191227	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0019219	BP	e	regulation of nucleobase-containing compound metabolic process	9/9	3889/20424	3.2660041819009665e-07	5	9	0.000600440403191227	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0045595	BP	e	regulation of cell differentiation	7/9	1495/20424	3.5070177355578184e-07	4	7	0.000600440403191227	ENSG00000100811, ENSG00000113916, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0031326	BP	e	regulation of cellular biosynthetic process	9/9	4020/20424	4.4019075878504165e-07	5	9	0.0006782899402118707	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0009889	BP	e	regulation of biosynthetic process	9/9	4080/20424	5.030430871509334e-07	4	9	0.0007046719027189758	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0010468	BP	e	regulation of gene expression	9/9	4699/20424	1.7956354460011147e-06	5	9	0.0023057455489525983	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0030154	BP	e	cell differentiation	7/9	2001/20424	2.584629121674504e-06	3	7	0.0030635807796832643	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	6/9	1204/20424	2.9849532546010803e-06	11	6	0.0032853674785820034	ENSG00000100811, ENSG00000116016, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:2000026	BP	e	regulation of multicellular organismal development	6/9	1305/20424	4.780198549049742e-06	4	6	0.0049105386294871645	ENSG00000100811, ENSG00000113916, ENSG00000134107, ENSG00000137265, ENSG00000172216, ENSG00000185022
GO:0002521	BP	e	leukocyte differentiation	4/9	308/20424	6.020773322273415e-06	4	4	0.005798381007681941	ENSG00000100811, ENSG00000113916, ENSG00000137265, ENSG00000171223
GO:0051171	BP	e	regulation of nitrogen compound metabolic process	9/9	5482/20424	7.196083740611661e-06	4	9	0.006522614962299123	ENSG00000100811, ENSG00000113916, ENSG00000116016, ENSG00000119950, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
GO:0050793	BP	e	regulation of developmental process	7/9	2358/20424	7.898393987749912e-06	3	7	0.006761464053179911	ENSG00000100811, ENSG00000113916, ENSG00000134107, ENSG00000137265, ENSG00000171223, ENSG00000172216, ENSG00000185022
