# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0009615	BP	e	response to virus	7/7	320/20424	2.1717773796246136e-13	5	7	3.3464917642635673e-09	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0051607	BP	e	defense response to virus	6/7	220/20424	1.0123443465896636e-11	7	6	5.1997380122000426e-08	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0140546	BP	e	defense response to symbiont	6/7	220/20424	1.0123443465896636e-11	6	6	5.1997380122000426e-08	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0019221	BP	e	cytokine-mediated signaling pathway	6/7	348/20424	1.61788742228252e-10	6	6	6.232506822487837e-07	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0051707	BP	e	response to other organism	7/7	1034/20424	8.361148065188397e-10	4	7	2.5767386107297603e-06	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0098586	BP	e	cellular response to virus	4/7	54/20424	1.5181721063704812e-09	6	4	3.898918997843791e-06	ENSG00000109320, ENSG00000169245, ENSG00000171855, ENSG00000185507
GO:0002252	BP	e	immune effector process	6/7	527/20424	1.9652929234128233e-09	2	6	4.326171236695456e-06	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0043207	BP	e	response to external biotic stimulus	7/7	1222/20424	2.7007402998335436e-09	3	7	5.0453239515469605e-06	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0006952	BP	e	defense response	7/7	1240/20424	2.9925740195104206e-09	3	7	5.0453239515469605e-06	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0009607	BP	e	response to biotic stimulus	7/7	1256/20424	3.2742708492095276e-09	2	7	5.0453239515469605e-06	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0044419	BP	e	biological process involved in interspecies interaction between organisms	7/7	1291/20424	3.970711680546274e-09	1	7	5.562245116867049e-06	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0060337	BP	e	type I interferon signaling pathway	3/7	19/20424	2.3832156506964632e-08	7	3	3.060247496798483e-05	ENSG00000115415, ENSG00000171855, ENSG00000185507
GO:0098542	BP	e	defense response to other organism	6/7	829/20424	2.9699824415268144e-08	5	6	3.520343033960514e-05	ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0009605	BP	e	response to external stimulus	7/7	1818/20424	4.381224798825075e-08	2	7	4.82216378036397e-05	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507, ENSG00000233816
GO:0032101	BP	e	regulation of response to external stimulus	6/7	915/20424	5.358804375070882e-08	4	6	5.504921107697814e-05	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0009612	BP	e	response to mechanical stimulus	4/7	187/20424	2.3313334063856987e-07	3	4	0.0002245219778687327	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000173039
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	6/7	1204/20424	2.75741695502598e-07	11	6	0.0002499355168235019	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0031347	BP	e	regulation of defense response	5/7	595/20424	4.1288753433143683e-07	5	5	0.00035345466758406166	ENSG00000109320, ENSG00000115415, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0043331	BP	e	response to dsRNA	3/7	55/20424	6.418319926656463e-07	5	3	0.0005170632739772056	ENSG00000109320, ENSG00000171855, ENSG00000233816
GO:0042981	BP	e	regulation of apoptotic process	6/7	1398/20424	6.711185332950945e-07	6	6	0.0005170632739772056	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0043067	BP	e	regulation of programmed cell death	6/7	1426/20424	7.551315004872226e-07	5	6	0.0005540867281432196	ENSG00000109320, ENSG00000115415, ENSG00000169245, ENSG00000171855, ENSG00000173039, ENSG00000185507
GO:0001817	BP	e	regulation of cytokine production	5/7	714/20424	1.0200707295491954e-06	6	5	0.0006881579377501897	ENSG00000109320, ENSG00000115415, ENSG00000171855, ENSG00000173039, ENSG00000185507
