# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0032922	BP	e	circadian regulation of gene expression	7/7	69/20424	3.671737280531908e-18	6	7	3.2792116376123524e-14	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852, ENSG00000170485, ENSG00000179094
GO:2000323	BP	e	negative regulation of glucocorticoid receptor signaling pathway	5/7	6/20424	4.256229005921672e-18	8	5	3.2792116376123524e-14	ENSG00000008405, ENSG00000121671, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:2000322	BP	e	regulation of glucocorticoid receptor signaling pathway	5/7	7/20424	1.4895585546637475e-17	7	5	7.650869256271228e-14	ENSG00000008405, ENSG00000121671, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:0007623	BP	e	circadian rhythm	7/7	134/20424	4.466894298635775e-16	2	7	1.7207593561919666e-12	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852, ENSG00000170485, ENSG00000179094
GO:0048511	BP	e	rhythmic process	7/7	268/20424	6.19577317406111e-14	1	7	1.909413376782153e-10	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852, ENSG00000170485, ENSG00000179094
GO:0009648	BP	e	photoperiodism	5/7	34/20424	1.9693599573400664e-13	5	5	5.016593059323633e-10	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000134852, ENSG00000179094
GO:0042752	BP	e	regulation of circadian rhythm	6/7	118/20424	2.278937725697023e-13	3	6	5.016593059323633e-10	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:0033144	BP	e	negative regulation of intracellular steroid hormone receptor signaling pathway	5/7	37/20424	3.0843096231381634e-13	7	5	5.940765872866995e-10	ENSG00000008405, ENSG00000121671, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:0033143	BP	e	regulation of intracellular steroid hormone receptor signaling pathway	5/7	73/20424	1.0596805644182016e-11	6	5	1.8142908685688966e-08	ENSG00000008405, ENSG00000121671, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:0043153	BP	e	entrainment of circadian clock by photoperiod	4/7	30/20424	1.3193064113879184e-10	6	4	2.0329192493076433e-07	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000179094
GO:0009649	BP	e	entrainment of circadian clock	4/7	35/20424	2.5191847314700714e-10	4	4	3.52891977520203e-07	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000179094
GO:0046883	BP	e	regulation of hormone secretion	5/7	231/20424	3.6544018295119914e-09	7	5	4.69255648257919e-06	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852
GO:0051775	BP	e	response to redox state	3/7	13/20424	7.0402579886938266e-09	2	3	8.344871949829475e-06	ENSG00000133794, ENSG00000134852, ENSG00000170485
GO:0042754	BP	e	negative regulation of circadian rhythm	3/7	14/20424	8.959011622451e-09	4	3	9.860672149310533e-06	ENSG00000008405, ENSG00000121671, ENSG00000132326
GO:0009416	BP	e	response to light stimulus	5/7	300/20424	1.3560185921828516e-08	4	5	1.3929926991297039e-05	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000134852, ENSG00000179094
GO:0009314	BP	e	response to radiation	5/7	427/20424	7.917251703883209e-08	3	5	7.293473375662428e-05	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000134852, ENSG00000179094
GO:0042634	BP	e	regulation of hair cycle	3/7	28/20424	8.046534323204704e-08	4	3	7.293473375662428e-05	ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:0071483	BP	e	cellular response to blue light	2/7	2/20424	1.0069060521519225e-07	7	2	8.16600808295209e-05	ENSG00000008405, ENSG00000121671
GO:0009785	BP	e	blue light signaling pathway	2/7	2/20424	1.0069060521519225e-07	8	2	8.16600808295209e-05	ENSG00000008405, ENSG00000121671
GO:0010817	BP	e	regulation of hormone levels	5/7	497/20424	1.6870647104526675e-07	3	5	0.00012997990061682576	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852
GO:1903530	BP	e	regulation of secretion by cell	5/7	539/20424	2.5261477394957707e-07	6	5	0.00018535909770423968	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852
GO:2000832	BP	e	negative regulation of steroid hormone secretion	2/7	3/20424	3.020225106668724e-07	9	2	0.00019391103611940985	ENSG00000008405, ENSG00000121671
GO:2000850	BP	e	negative regulation of glucocorticoid secretion	2/7	3/20424	3.020225106668724e-07	11	2	0.00019391103611940985	ENSG00000008405, ENSG00000121671
GO:2000847	BP	e	negative regulation of corticosteroid hormone secretion	2/7	3/20424	3.020225106668724e-07	10	2	0.00019391103611940985	ENSG00000008405, ENSG00000121671
GO:0043269	BP	e	regulation of ion transport	6/7	1255/20424	3.530581605520422e-07	5	6	0.00021761092783785673	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:0045892	BP	e	negative regulation of transcription, DNA-templated	6/7	1276/20424	3.8973497858949696e-07	10	6	0.0002185146408356498	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:1903507	BP	e	negative regulation of nucleic acid-templated transcription	6/7	1278/20424	3.933869567379149e-07	9	6	0.0002185146408356498	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:1902679	BP	e	negative regulation of RNA biosynthetic process	6/7	1280/20424	3.9706729465884835e-07	8	6	0.0002185146408356498	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852, ENSG00000179094
GO:0051046	BP	e	regulation of secretion	5/7	595/20424	4.1288753433143683e-07	5	5	0.0002193856557418314	ENSG00000008405, ENSG00000121671, ENSG00000132326, ENSG00000133794, ENSG00000134852
