# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	6/6	2547/20424	3.741866777105145e-06	10	6	0.028619110917054862	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	5/6	1204/20424	4.0308047427978534e-06	11	5	0.028619110917054862	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:0035855	BP	e	megakaryocyte development	2/6	17/20424	9.762229347250549e-06	5	2	0.028619110917054862	ENSG00000151702, ENSG00000162367
GO:0045893	BP	e	positive regulation of transcription, DNA-templated	5/6	1612/20424	1.707373538714437e-05	10	5	0.028619110917054862	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:1903508	BP	e	positive regulation of nucleic acid-templated transcription	5/6	1612/20424	1.707373538714437e-05	9	5	0.028619110917054862	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	5/6	1618/20424	1.738970160325569e-05	8	5	0.028619110917054862	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:0098751	BP	e	bone cell development	2/6	24/20424	1.9793474820123603e-05	4	2	0.028619110917054862	ENSG00000151702, ENSG00000162367
GO:0006355	BP	e	regulation of transcription, DNA-templated	6/6	3369/20424	2.0069915977405287e-05	9	6	0.028619110917054862	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:1903506	BP	e	regulation of nucleic acid-templated transcription	6/6	3370/20424	2.0105712497469137e-05	8	6	0.028619110917054862	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:0010604	BP	e	positive regulation of macromolecule metabolic process	6/6	3371/20424	2.01415622079966e-05	5	6	0.028619110917054862	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:2001141	BP	e	regulation of RNA biosynthetic process	6/6	3379/20424	2.0430282308235673e-05	7	6	0.028619110917054862	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:0051254	BP	e	positive regulation of RNA metabolic process	5/6	1709/20424	2.2778390304546184e-05	7	5	0.02924935135022935	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:0051252	BP	e	regulation of RNA metabolic process	6/6	3639/20424	3.188419384776022e-05	6	6	0.032522922381046156	ENSG00000101412, ENSG00000125968, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
GO:0045648	BP	e	positive regulation of erythrocyte differentiation	2/6	31/20424	3.331721718445582e-05	8	2	0.032522922381046156	ENSG00000134954, ENSG00000162367
GO:0010557	BP	e	positive regulation of macromolecule biosynthetic process	5/6	1850/20424	3.366441862176059e-05	6	5	0.032522922381046156	ENSG00000101412, ENSG00000134954, ENSG00000151702, ENSG00000157557, ENSG00000162367
