# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0010628	BP	e	positive regulation of gene expression	9/15	1091/20424	1.2815978534441316e-08	6	9	0.00019748141323720626	ENSG00000074800, ENSG00000082175, ENSG00000091831, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000144381, ENSG00000159216
GO:0045935	BP	e	positive regulation of nucleobase-containing compound metabolic process	10/15	1894/20424	8.924282160030202e-08	6	10	0.0003355532475155079	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
GO:0000122	BP	e	negative regulation of transcription by RNA polymerase II	8/15	940/20424	9.425967123627196e-08	11	8	0.0003355532475155079	ENSG00000074800, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
GO:0010604	BP	e	positive regulation of macromolecule metabolic process	12/15	3371/20424	1.1165976038350626e-07	5	12	0.0003355532475155079	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
GO:0031328	BP	e	positive regulation of cellular biosynthetic process	10/15	1951/20424	1.1847966176885688e-07	6	10	0.0003355532475155079	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
GO:0009891	BP	e	positive regulation of biosynthetic process	10/15	1985/20424	1.3972010236761752e-07	5	10	0.0003355532475155079	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
GO:2000113	BP	e	negative regulation of cellular macromolecule biosynthetic process	9/15	1464/20424	1.6429330251058724e-07	7	9	0.0003355532475155079	ENSG00000074800, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
GO:0010558	BP	e	negative regulation of macromolecule biosynthetic process	9/15	1474/20424	1.7421156338010665e-07	6	9	0.0003355532475155079	ENSG00000074800, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
GO:0071391	BP	e	cellular response to estrogen stimulus	3/15	17/20424	2.165870766263517e-07	6	3	0.0003708211404150504	ENSG00000091831, ENSG00000131759, ENSG00000136997
GO:0031327	BP	e	negative regulation of cellular biosynthetic process	9/15	1531/20424	2.4142917712252775e-07	6	9	0.000372018219028103	ENSG00000074800, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
