# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0071492	BP	e	cellular response to UV-A	3/6	11/20424	2.3223288027973633e-09	8	3	3.5784764522304576e-05	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:0070141	BP	e	response to UV-A	3/6	14/20424	5.12150435512974e-09	6	3	3.9458630304097084e-05	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:1901652	BP	e	response to peptide	5/6	361/20424	9.925654643592458e-09	5	5	5.098147080103873e-05	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000115415, ENSG00000185591
GO:0042127	BP	e	regulation of cell population proliferation	6/6	1610/20424	2.3789131981242963e-07	4	6	0.0009164168367474321	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000115415, ENSG00000134954, ENSG00000185591
GO:2000697	BP	e	negative regulation of epithelial cell differentiation involved in kidney development	2/6	4/20424	4.3141847431641906e-07	7	2	0.0013295454541483401	ENSG00000100985, ENSG00000115415
GO:0010243	BP	e	response to organonitrogen compound	5/6	806/20424	5.48911582367514e-07	4	5	0.001409696428783504	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000115415, ENSG00000185591
GO:1901698	BP	e	response to nitrogen compound	5/6	875/20424	8.260906944608757e-07	3	5	0.0015533536590445257	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000115415, ENSG00000185591
GO:0030334	BP	e	regulation of cell migration	5/6	880/20424	8.498401201037342e-07	6	5	0.0015533536590445257	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000134954, ENSG00000185591
GO:0008284	BP	e	positive regulation of cell population proliferation	5/6	900/20424	9.503392991716332e-07	5	5	0.0015533536590445257	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000115415, ENSG00000185591
GO:0048661	BP	e	positive regulation of smooth muscle cell proliferation	3/6	80/20424	1.1476088354436312e-06	6	3	0.0015533536590445257	ENSG00000087245, ENSG00000100985, ENSG00000115415
GO:2000145	BP	e	regulation of cell motility	5/6	938/20424	1.1672848356553583e-06	5	5	0.0015533536590445257	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000134954, ENSG00000185591
GO:0006979	BP	e	response to oxidative stress	4/6	348/20424	1.209698481960822e-06	3	4	0.0015533536590445257	ENSG00000087245, ENSG00000100985, ENSG00000115415, ENSG00000185591
GO:0034644	BP	e	cellular response to UV	3/6	86/20424	1.4285354305265686e-06	7	3	0.001605331230242789	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:0040012	BP	e	regulation of locomotion	5/6	981/20424	1.45853963420073e-06	3	5	0.001605331230242789	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000134954, ENSG00000185591
GO:0051270	BP	e	regulation of cellular component movement	5/6	1004/20424	1.6365101713724328e-06	4	5	0.0016811323487118544	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000134954, ENSG00000185591
GO:0071482	BP	e	cellular response to light stimulus	3/6	110/20424	3.0045908819156696e-06	6	3	0.0028936088062149097	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:0051239	BP	e	regulation of multicellular organismal process	6/6	2581/20424	4.052065152370825e-06	3	6	0.0036728395254636494	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000115415, ENSG00000134954, ENSG00000185591
GO:0048660	BP	e	regulation of smooth muscle cell proliferation	3/6	135/20424	5.567134727154624e-06	5	3	0.004623533976195353	ENSG00000087245, ENSG00000100985, ENSG00000115415
GO:0030335	BP	e	positive regulation of cell migration	4/6	514/20424	5.713518829074784e-06	7	4	0.004623533976195353	ENSG00000087245, ENSG00000100985, ENSG00000134954, ENSG00000185591
GO:1901700	BP	e	response to oxygen-containing compound	5/6	1318/20424	6.3098549631617915e-06	3	5	0.004623533976195353	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000115415, ENSG00000185591
GO:2000147	BP	e	positive regulation of cell motility	4/6	536/20424	6.747700236421765e-06	6	4	0.004623533976195353	ENSG00000087245, ENSG00000100985, ENSG00000134954, ENSG00000185591
GO:0009411	BP	e	response to UV	3/6	144/20424	6.7592085340348455e-06	5	3	0.004623533976195353	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:0010634	BP	e	positive regulation of epithelial cell migration	3/6	145/20424	6.9012448213701805e-06	8	3	0.004623533976195353	ENSG00000100985, ENSG00000134954, ENSG00000185591
GO:0051272	BP	e	positive regulation of cellular component movement	4/6	548/20424	7.367311063499156e-06	5	4	0.00464033562961785	ENSG00000087245, ENSG00000100985, ENSG00000134954, ENSG00000185591
GO:0040017	BP	e	positive regulation of locomotion	4/6	551/20424	7.528612547241628e-06	4	4	0.00464033562961785	ENSG00000087245, ENSG00000100985, ENSG00000134954, ENSG00000185591
GO:2000696	BP	e	regulation of epithelial cell differentiation involved in kidney development	2/6	16/20424	8.61485701056377e-06	6	2	0.005105628141376044	ENSG00000100985, ENSG00000115415
GO:0009725	BP	e	response to hormone	4/6	597/20424	1.034599339836076e-05	4	4	0.005904496750938554	ENSG00000087245, ENSG00000102265, ENSG00000115415, ENSG00000185591
GO:0000302	BP	e	response to reactive oxygen species	3/6	172/20424	1.1522214006551706e-05	4	3	0.006338208020240969	ENSG00000087245, ENSG00000100985, ENSG00000115415
GO:0071478	BP	e	cellular response to radiation	3/6	174/20424	1.1928615262962431e-05	5	3	0.006338208020240969	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:0010632	BP	e	regulation of epithelial cell migration	3/6	224/20424	2.5407647273039684e-05	7	3	0.013050214561008949	ENSG00000100985, ENSG00000134954, ENSG00000185591
GO:0035987	BP	e	endodermal cell differentiation	2/6	28/20424	2.7094291548618975e-05	4	2	0.01346761091847322	ENSG00000087245, ENSG00000100985
GO:1904707	BP	e	positive regulation of vascular associated smooth muscle cell proliferation	2/6	31/20424	3.331721718445582e-05	7	2	0.015557121199856961	ENSG00000087245, ENSG00000100985
GO:0045648	BP	e	positive regulation of erythrocyte differentiation	2/6	31/20424	3.331721718445582e-05	8	2	0.015557121199856961	ENSG00000115415, ENSG00000134954
GO:1901701	BP	e	cellular response to oxygen-containing compound	4/6	828/20424	3.768275139464206e-05	4	4	0.01707804459529528	ENSG00000087245, ENSG00000100985, ENSG00000115415, ENSG00000185591
GO:0043434	BP	e	response to peptide hormone	3/6	279/20424	4.892541476795548e-05	6	3	0.02091746691972231	ENSG00000102265, ENSG00000115415, ENSG00000185591
GO:0045765	BP	e	regulation of angiogenesis	3/6	280/20424	4.944979569157082e-05	6	3	0.02091746691972231	ENSG00000115415, ENSG00000134954, ENSG00000185591
GO:0030574	BP	e	collagen catabolic process	2/6	38/20424	5.032384794707926e-05	3	2	0.02091746691972231	ENSG00000087245, ENSG00000100985
GO:1901342	BP	e	regulation of vasculature development	3/6	284/20424	5.158438204617093e-05	5	3	0.02091746691972231	ENSG00000115415, ENSG00000134954, ENSG00000185591
GO:0007566	BP	e	embryo implantation	2/6	39/20424	5.303712446633896e-05	2	2	0.02095510386927736	ENSG00000087245, ENSG00000100985
GO:0009416	BP	e	response to light stimulus	3/6	300/20424	6.072958563552298e-05	4	3	0.02265797129602865	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:0071214	BP	e	cellular response to abiotic stimulus	3/6	304/20424	6.317154805107757e-05	4	3	0.02265797129602865	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:0104004	BP	e	cellular response to environmental stimulus	3/6	304/20424	6.317154805107757e-05	3	3	0.02265797129602865	ENSG00000087245, ENSG00000100985, ENSG00000102265
GO:0010033	BP	e	response to organic substance	5/6	2103/20424	6.322881210521332e-05	3	5	0.02265797129602865	ENSG00000087245, ENSG00000100985, ENSG00000102265, ENSG00000115415, ENSG00000185591
