# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0001654	BP	e	eye development	3/5	97/20424	1.0313460453956e-06	5	3	0.0158920112135008	ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0007423	BP	e	sensory organ development	3/5	127/20424	2.326813044238829e-06	4	3	0.01792693109933806	ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0000785	CC	e	chromatin	5/5	1094/20424	4.3713946535159626e-07	2	5	0.000862913304604051	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0000978	MF	e	RNA polymerase II cis-regulatory region sequence-specific DNA binding	5/5	1196/20424	6.831699524385285e-07	9	5	0.0015088601088580303	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0000987	MF	e	cis-regulatory region sequence-specific DNA binding	5/5	1217/20424	7.453985861059471e-07	8	5	0.0015088601088580303	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0000981	MF	e	DNA-binding transcription factor activity, RNA polymerase II-specific	5/5	1364/20424	1.3194502301729153e-06	3	5	0.0015088601088580303	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0000977	MF	e	RNA polymerase II transcription regulatory region sequence-specific DNA binding	5/5	1412/20424	1.568928372907605e-06	8	5	0.0015088601088580303	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0003700	MF	e	DNA-binding transcription factor activity	5/5	1414/20424	1.5800871469053282e-06	2	5	0.0015088601088580303	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0000976	MF	e	transcription regulatory region sequence-specific DNA binding	5/5	1506/20424	2.166441005472449e-06	7	5	0.0015088601088580303	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0001067	MF	e	regulatory region nucleic acid binding	5/5	1508/20424	2.18088390708367e-06	4	5	0.0015088601088580303	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:1990837	MF	e	sequence-specific double-stranded DNA binding	5/5	1563/20424	2.609289520680986e-06	6	5	0.001579598643582252	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0003690	MF	e	double-stranded DNA binding	5/5	1657/20424	3.4954077408403254e-06	5	5	0.0017341376841097278	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0043565	MF	e	sequence-specific DNA binding	5/5	1665/20424	3.580709651269312e-06	5	5	0.0017341376841097278	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0140110	MF	e	transcription regulator activity	5/5	1919/20424	7.288172101308325e-06	1	5	0.0032087834078760196	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0003677	MF	e	DNA binding	5/5	2473/20424	2.5934149932193494e-05	4	5	0.010466590676801092	ENSG00000114861, ENSG00000128573, ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0001228	MF	e	DNA-binding transcription activator activity, RNA polymerase II-specific	3/5	456/20424	0.0001069323121878323	4	3	0.03796379941901819	ENSG00000134138, ENSG00000167081, ENSG00000185630
GO:0001216	MF	e	DNA-binding transcription activator activity	3/5	460/20424	0.00010974461942313744	3	3	0.03796379941901819	ENSG00000134138, ENSG00000167081, ENSG00000185630
